season,team_abbr,coach_out,change_date,window,metric,n_pre,n_post,treated_pre,treated_post,control_pre,control_post,treated_delta,control_delta,did
2022-23,BKN,Steve Nash,2022-11-01,10,xpts_100poss,7,10,92.86170054907544,93.0600837332139,93.87025824622924,93.0737082461041,0.19838318413846423,-0.7965500001251371,0.9949331842636013
2022-23,ATL,Nate McMillan,2023-02-21,10,xpts_100poss,10,10,97.49705083416332,96.07125192098215,94.364664676015,93.68379941358367,-1.4257989131811684,-0.6808652624313254,-0.744933650749843
2023-24,MIL,Adrian Griffin,2024-01-23,10,xpts_100poss,10,10,96.82899038959647,92.01245766901809,95.47287417581481,96.79744965708832,-4.81653272057838,1.3245754812735129,-6.1411082018518925
2023-24,WAS,Wes Unseld Jr.,2024-01-26,10,xpts_100poss,10,10,94.43727435776282,94.03965016160075,95.54591130892152,97.13534862270843,-0.3976241961620701,1.5894373137869167,-1.9870615099489868
2023-24,BKN,Jacque Vaughn,2024-02-19,10,xpts_100poss,10,10,96.02706181721493,92.90705549353207,96.99714801012131,96.95789685057485,-3.1200063236828584,-0.03925115954645264,-3.0807551641364057
2024-25,SAC,Mike Brown,2024-12-27,10,xpts_100poss,10,10,89.07312967083462,87.03818745017473,94.39321105691238,95.40043625485015,-2.034942220659886,1.007225197937771,-3.042167418597657
2024-25,MEM,Taylor Jenkins,2025-03-28,10,xpts_100poss,10,9,90.2437452262452,96.04331773515091,95.18244916466769,96.08021721164876,5.799572508905712,0.8977680469810707,4.901804461924641
2022-23,BKN,Steve Nash,2022-11-01,10,pts_100poss,7,10,114.8265328387519,103.72016201974124,109.53408155396461,109.69796189184902,-11.106370819010664,0.16388033788440737,-11.270251156895071
2022-23,ATL,Nate McMillan,2023-02-21,10,pts_100poss,10,10,115.58655277799544,118.64011202738445,113.10316798910746,112.38083235725829,3.0535592493890107,-0.7223356318491767,3.7758948812381874
2023-24,MIL,Adrian Griffin,2024-01-23,10,pts_100poss,10,10,119.51582725571805,112.71380152912431,113.58948845365123,114.87370590884733,-6.80202572659374,1.2842174551960994,-8.08624318178984
2023-24,WAS,Wes Unseld Jr.,2024-01-26,10,pts_100poss,10,10,114.21853494418107,114.22331940751994,114.1858116716633,113.53567070302242,0.004784463338864953,-0.6501409686408834,0.6549254319797484
2023-24,BKN,Jacque Vaughn,2024-02-19,10,pts_100poss,10,10,116.63366336633665,107.75510204081633,113.67230485574154,111.06424502926617,-8.878561325520323,-2.608059826475369,-6.270501499044954
2024-25,SAC,Mike Brown,2024-12-27,10,pts_100poss,10,10,109.83549041010448,111.40512348519712,110.5855071201498,111.02164966899267,1.5696330750926393,0.4361425488428665,1.1334905262497728
2024-25,MEM,Taylor Jenkins,2025-03-28,10,pts_100poss,10,9,112.8038143970229,111.59481843278826,113.05844731452153,112.41866428001258,-1.2089959642346457,-0.6397830345089517,-0.569212929725694
2022-23,BKN,Steve Nash,2022-11-01,10,xpts_100shots,7,10,108.25695990242615,107.80978903197705,108.85002539503844,109.04908731241964,-0.4471708704490993,0.19906191738120071,-0.6462327878303
2022-23,ATL,Nate McMillan,2023-02-21,10,xpts_100shots,10,10,113.10544233588712,112.77624403582692,109.23222787687192,108.49866871084745,-0.3291983000601988,-0.7335591660244631,0.40436086596426435
2023-24,MIL,Adrian Griffin,2024-01-23,10,xpts_100shots,10,10,109.30407022901473,106.9747583456433,109.58698116322152,110.17016673394279,-2.3293118833714317,0.5831855707212696,-2.9124974540927013
2023-24,WAS,Wes Unseld Jr.,2024-01-26,10,xpts_100shots,10,10,107.86468769002813,108.00715327175345,109.43468840351765,110.42207805094868,0.1424655817253182,0.98738964743103,-0.8449240657057118
2023-24,BKN,Jacque Vaughn,2024-02-19,10,xpts_100shots,10,10,109.8384285791473,111.85370317403124,110.23107915690784,109.57053879923471,2.015274594883934,-0.6605403576731277,2.6758149525570616
2024-25,SAC,Mike Brown,2024-12-27,10,xpts_100shots,10,10,103.85926919619315,103.51688829878022,109.34901410566482,108.41223175721962,-0.3423808974129372,-0.936782348445206,0.5944014510322688
2024-25,MEM,Taylor Jenkins,2025-03-28,10,xpts_100shots,10,9,107.03530554489414,110.30926419873798,108.34254642345748,109.06239043785753,3.2739586538438346,0.7198440144000529,2.5541146394437817
2022-23,BKN,Steve Nash,2022-11-01,20,xpts_100poss,7,20,92.86170054907544,95.31285766587519,93.87025824622924,93.42807880792216,2.451157116799749,-0.44217943830707895,2.8933365551068277
2022-23,ATL,Nate McMillan,2023-02-21,20,xpts_100poss,20,20,99.96125484943089,99.42868236330001,94.07543110210244,94.35280169677871,-0.5325724861308743,0.27737059467627034,-0.8099430808071446
