season,shots,players,qualified_players_400_fga,avg_pps,avg_xpps,top_player,top_poe_per_100,bottom_player,bottom_poe_per_100
2022-23,216978,332,222,1.0972005205614037,1.1034793495598976,Nikola Jokić,26.491546956452773,Josh Okogie,-19.22155999301812
2023-24,218434,318,213,1.1008618616411823,1.1073280002575272,Nikola Jokić,19.613919964516356,Ochai Agbaji,-20.089325570100293
2024-25,219197,333,232,1.0922540675266574,1.100121368458077,Ty Jerome,23.6095963795087,Ricky Council IV,-20.512901822692328
