player_id,player_name,season,def_rapm,def_ci_low,def_ci_high,off_rapm,off_ci_low,off_ci_high,net_rapm,net_ci_low,net_ci_high,def_shots,off_shots
1628991,Jackson Jr.,pooled,3.194698916842287,1.8379737697859089,4.49893491546281,-0.84149027171163,-2.3247057437560747,0.6176032672505318,2.353208645130657,0.4174466154562318,4.52620162138795,11018,11138
1629630,Morant,pooled,2.670156747061741,1.145570921352531,4.179308602119666,-1.2095607988791455,-2.281569008571145,0.055083542078280215,1.4605959481825954,-0.43572948333223355,3.309402836558448,7024,7105
1630193,Quickley,pooled,2.301863163104649,0.7768047568096903,3.7418442056728667,-0.6187082823461975,-1.7663142400654528,0.8756104890364882,1.6831548807584515,-0.05113703699288979,3.500556281160986,9303,9343
1641705,Wembanyama,pooled,2.293674229597566,0.8880780403912827,3.52967593419282,-0.5977927023743813,-1.8725343424436987,0.6571653501105723,1.6958815272231846,-0.3692452250399618,3.5590816078642997,6898,6664
201572,Lopez,pooled,2.2886692719021684,1.0078682004205217,3.6614971609276017,0.7123827317585343,-0.7652840742460537,2.1425816528365207,3.0010520036607025,1.254766112609795,5.020778139250728,13730,13042
1629731,Wade,pooled,2.2623287277666773,0.7266698418881979,3.6673491272058527,-0.18699264508120783,-1.5467426678923266,1.104561858284315,2.075336082685469,0.08989480937008792,3.6734305129510147,5532,5589
1631212,Watson,pooled,2.1602383090351287,0.6564834795572193,3.77592808042994,-0.010458391679656977,-1.1744028714629635,1.0127672784545907,2.1497799173554717,0.30792116883514037,4.030353927795232,6091,5790
1631096,Holmgren,pooled,2.1321492762361687,0.800642631649024,3.3966217902585383,2.0207220602830898,0.630837154036418,3.1547685565785724,4.152871336519258,2.134504445963796,5.96321179020262,6127,6096
1628392,Hartenstein,pooled,2.0072667816582364,0.34867850510941145,3.371422120378764,0.29660504524275755,-0.9915409627639327,1.608710900426676,2.303871826900994,0.4350615644966782,4.114324589824783,8978,9312
201950,Holiday,pooled,1.9792347884180965,0.7896299101822808,3.2441574690748203,0.45427903200554487,-0.9684634729322066,1.7993803522840188,2.4335138204236415,0.5118404648764108,4.251496197976687,11786,11480
202699,Harris,pooled,1.973858297001078,0.21944050612165666,3.488419803004371,0.1449856967516297,-1.412521621130842,1.3426851476202009,2.1188439937527077,0.12199556093532544,3.7711710980303987,12426,12604
1628415,Brooks,pooled,1.9275565860854933,0.4705492990243136,3.4881126898231325,-0.3932583440164262,-1.8275103434229432,0.8651347910581951,1.5342982420690672,-0.3799144298499677,3.2534507939752757,12380,12841
203954,Embiid,pooled,1.9183471580852385,0.4417187226545103,3.25266807125557,1.498622367927689,0.16037402060092135,2.736009927236164,3.4169695260129274,1.351967674869859,5.204637264541481,7295,6955
