season,archetype,players,avg_attempts,avg_poe_per_100,avg_pps,avg_xpps,avg_rel_ts_pct,avg_distance_ft,avg_three_pa_rate,avg_rim_rate,avg_midrange_rate
2022-23,Midrange Creators,99,793.6161616161617,1.1886505121193263,1.0460156659773143,1.0341291608561212,-0.020328083116401514,14.779433635750202,0.3928229061034862,0.21326543791923058,0.1791172613537631
2022-23,Corner Spacers,82,529.4756097560976,-5.211340468258187,1.0805069928800468,1.1326203975626283,-0.006942213765569489,12.684876930422899,0.4123860410862053,0.3593816764884059,0.06335751580079914
2022-23,Perimeter Spacers,80,507.5875,1.1683182632605538,1.100439319758858,1.0887561371262524,-0.006989629798788828,18.201495742797853,0.6367578977701613,0.18320716112505803,0.07716268344654763
2022-23,Balanced Shot Diet,41,639.9024390243902,2.021241121457652,1.1257160218549571,1.1055036106403806,0.013848133502922364,8.284030385133697,0.1517618351932867,0.4136377078670219,0.10546192006925915
2022-23,Rim Pressure,30,442.43333333333334,-2.504665069774681,1.2641315333902081,1.2891781840879548,0.06583346244691375,3.914895886182785,0.056098143210539075,0.7144790354104723,0.03909342355138625
2023-24,Balanced Shot Diet,83,729.0120481927711,0.2625694164409705,1.058144193184732,1.0555184990203221,-0.01650287642828786,16.39513631613858,0.496140819027666,0.19444338419164123,0.13837130023302632
2023-24,Corner Spacers,81,521.9012345679013,-4.59088619481296,1.0887370271055765,1.1346458890537061,-0.007419011231454459,12.296254369947645,0.3914362249330563,0.36374782912884585,0.06201865394575143
2023-24,Perimeter Spacers,60,437.51666666666665,1.7471286038513647,1.1316907743309934,1.1142194882924796,0.00514151893734607,18.348762702941894,0.6691528310423466,0.18111607135088592,0.05155988445125791
2023-24,Midrange Creators,59,918.2881355932203,1.8204028022724204,1.0653569713355246,1.0471529433128004,-0.00839977532048105,11.878414849103507,0.2658845494999532,0.2779263699663459,0.17473785495412741
2023-24,Rim Pressure,35,509.2857142857143,-1.9367476957049174,1.2372256286673142,1.2565931056243635,0.06002004806273517,4.278284937994821,0.05991504542550141,0.6756504665209856,0.03932512144895135
2024-25,Balanced Shot Diet,87,736.551724137931,1.3498848409502038,1.0623646696945652,1.0488658212850632,-0.009938949842027858,16.445234265820734,0.5082110826405645,0.19444049197617783,0.11379593353021412
2024-25,Midrange Creators,75,746.3466666666667,0.5542849100106715,1.0541227719026764,1.0485799228025698,-0.009738621065944024,12.274172458648682,0.30218030546155,0.2788031305794848,0.1451244860949155
2024-25,Corner Spacers,71,478.14084507042253,-5.452760501177267,1.0889181962421743,1.143445801253947,-0.004912514466269472,13.08888376262826,0.44448733806506063,0.34889863255982884,0.04836059084886218
2024-25,Perimeter Spacers,58,476.5,3.136911948010294,1.1229985679778975,1.0916294484977944,0.004184664693223017,19.168047921410924,0.6961032710915301,0.1467786568207691,0.0559099946281334
2024-25,Rim Pressure,42,471.8095238095238,-5.1377944721604925,1.1854419393889675,1.2368198841105726,0.03692490453619429,4.965300449303219,0.07672035495472013,0.6185996883318696,0.040656286629993425
