# Curated table of TRUE in-season NBA head-coach changes (2022-23, 2023-24, 2024-25).
# Scope: the head coach was fired/parted ways DURING the regular season and a different (interim
#   or permanent) coach took over for the rest of that same season. Offseason changes excluded.
# change_date convention: the FIRST game the FIRED coach did NOT coach (post-window start). For the
#   two cases with a Joe-Prunty bridge interim (ATL 22-23, MIL 23-24) this is the interim's first
#   game, not the permanent hire's debut — the treatment is "coach fired", so the interim's games
#   are post. Dates verified against team_game_logs (last pre / first post game) — see git history.
# Sources are per-row; counts: 2 (2022-23) + 3 (2023-24) + 3 (2024-25) = 8. DEN 2024-25 has only
#   ~3 post games so it auto-drops under the W_MIN games-per-side floor.
season,team_abbr,team_id,change_date,coach_out,coach_in,source_url
2022-23,BKN,1610612751,2022-11-01,Steve Nash,Jacque Vaughn,https://en.wikipedia.org/wiki/2022%E2%80%9323_Brooklyn_Nets_season
2022-23,ATL,1610612737,2023-02-21,Nate McMillan,Quin Snyder,https://en.wikipedia.org/wiki/Quin_Snyder
2023-24,MIL,1610612749,2024-01-23,Adrian Griffin,Doc Rivers,https://en.wikipedia.org/wiki/2023%E2%80%9324_NBA_season
2023-24,WAS,1610612764,2024-01-26,Wes Unseld Jr.,Brian Keefe,https://en.wikipedia.org/wiki/2023%E2%80%9324_NBA_season
2023-24,BKN,1610612751,2024-02-19,Jacque Vaughn,Kevin Ollie,https://en.wikipedia.org/wiki/Kevin_Ollie
2024-25,SAC,1610612758,2024-12-27,Mike Brown,Doug Christie,https://en.wikipedia.org/wiki/2024%E2%80%9325_NBA_season
2024-25,MEM,1610612763,2025-03-28,Taylor Jenkins,Tuomas Iisalo,https://en.wikipedia.org/wiki/Tuomas_Iisalo
2024-25,DEN,1610612743,2025-04-08,Michael Malone,David Adelman,https://en.wikipedia.org/wiki/2024%E2%80%9325_NBA_season
